record_id,age,gender,education_qualification,martial_status,occupation_status,bank___1,bank___2,bank___3,bank___4,bank___5,bank___6,bank___7,bank___8,bank___9,bank___10,Sem_1,Sem_2,Sem_3,Sem_4,Sem_5,Hc_1,Hc_2,Hc_3,Hc_4,Hc_5,Hc_6,Hl_1,Hl_2,Hl_3,Hl_4,CI_1,CI_2,CI_3,CI_4,PERSN_1,PERSN_2,PERSN_3,PERSN_4,Ca_1,Ca_2,Ca_3,Ca_4,Ey_1,Ey_2,Ey_3,Ey_ 4,Cv_1,Cv_2,Cv_3,CV_4,CS_1,CS_2,CS_3,CS_4,CS_5,CT_1,CT_2,CT_3,CT_4,CT_5,CL_1,CL_2,CL_3,CL_4,CL_5,,,,,,,
22,4,1,3,2,1,0,1,0,0,0,0,0,0,0,0,3,4,4,3,3,3,3,4,2,3,3,3,2,4,3,4,3,3,4,4,2,4,2,2,3,2,3,3,3,3,2,3,3,4,4,4,3,3,3,3,2,4,2,3,2,3,3,3,4,2,,,,,,,
23,3,1,4,1,3,0,0,0,0,0,0,0,1,0,0,3,4,3,2,4,3,3,4,2,2,3,2,2,3,2,4,3,3,3,3,3,3,4,3,3,3,3,3,4,3,0,3,3,2,3,3,3,3,3,3,3,3,2,4,4,3,3,3,4,3,,,,,,,
24,2,1,4,1,3,0,0,0,0,1,0,0,0,0,0,2,3,4,3,4,1,1,1,1,1,1,1,1,1,1,3,2,3,3,3,4,3,4,4,4,2,3,2,3,3,2,3,3,3,3,3,3,3,3,3,3,2,4,4,3,3,3,3,4,4,,,,,,,
25,3,2,4,2,2,0,0,0,0,0,0,0,0,0,1,2,4,4,2,4,2,2,4,2,2,2,2,2,4,4,4,4,2,4,4,4,4,2,4,4,4,4,4,4,4,2,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,,,,,,,
26,3,1,4,2,2,0,0,0,0,0,0,0,1,0,0,1,1,1,3,2,2,2,2,3,3,2,3,3,3,2,2,2,1,3,2,2,2,2,4,2,2,2,2,1,2,2,1,2,2,2,1,2,2,2,2,2,2,2,1,1,1,1,1,2,1,,,,,,,
27,3,2,4,4,2,0,0,0,0,0,0,0,1,0,0,4,3,4,3,4,2,4,4,4,4,2,4,4,3,2,4,4,4,4,4,4,4,4,2,4,2,3,4,2,4,4,2,2,2,4,3,4,4,2,4,2,2,2,2,2,3,3,3,4,2,,,,,,,
28,4,2,4,4,1,1,0,0,0,0,0,0,1,0,0,4,3,4,2,3,4,3,3,2,2,3,2,2,4,2,4,4,4,4,3,2,4,4,3,4,4,3,3,3,4,2,4,3,3,3,3,4,3,4,4,3,3,4,3,4,3,3,4,3,3,,,,,,,
29,4,2,4,2,2,0,0,0,0,0,0,0,0,0,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,,,,,,,
30,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,,,,,,,
31,2,2,4,1,2,0,0,0,0,0,0,0,0,0,1,3,3,4,2,2,3,2,3,3,3,3,2,2,4,5,2,3,3,3,4,4,3,3,2,2,4,2,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,2,3,3,3,3,3,3,,,,,,,
32,4,2,4,4,2,0,0,0,0,0,0,0,1,0,0,2,2,2,2,2,2,2,3,2,2,2,2,2,3,3,3,2,2,2,3,3,3,2,3,3,3,2,2,2,3,2,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,,,,,,,
33,2,2,4,3,2,0,0,0,0,0,0,0,1,0,0,3,4,4,3,3,1,1,1,1,1,1,1,1,1,1,1,4,3,3,4,3,3,4,4,2,4,3,3,4,3,2,3,3,2,3,4,4,4,4,4,4,4,4,3,3,3,3,3,3,3,,,,,,,
34,2,1,4,1,2,1,0,0,0,0,0,0,0,0,0,4,4,4,2,3,3,3,3,2,2,3,2,2,3,3,3,3,3,3,3,4,4,3,4,4,4,4,4,3,4,2,3,3,3,3,4,4,4,4,4,3,4,4,3,4,4,4,4,3,3,,,,,,,
35,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,,,,,,,
36,2,1,4,3,1,0,0,0,0,0,0,0,1,0,0,3,3,3,3,2,2,2,3,2,3,3,4,3,3,3,2,3,4,5,4,4,4,4,3,4,3,4,4,4,4,2,4,4,4,3,4,4,3,3,4,3,3,3,3,2,3,3,3,4,3,,,,,,,
37,3,2,4,1,2,0,0,0,0,1,0,0,0,0,0,2,2,2,3,3,1,1,1,1,1,1,1,1,1,1,3,4,3,3,3,3,3,3,3,3,2,2,2,2,3,3,2,3,3,3,2,3,3,3,3,3,3,3,2,2,3,2,2,2,2,,,,,,,
38,4,2,4,1,3,0,1,0,0,0,0,0,0,0,0,3,2,2,2,3,2,2,3,2,2,2,2,2,2,2,3,2,3,1,4,1,1,2,2,2,2,3,2,1,2,2,3,2,3,4,2,2,4,4,4,2,2,2,2,3,2,2,2,2,2,,,,,,,
39,4,2,3,4,1,1,0,0,1,1,0,0,0,0,0,4,4,4,3,2,4,4,3,3,3,3,3,4,4,3,4,4,4,4,4,4,4,4,3,3,3,4,4,4,4,4,3,4,3,4,3,4,4,4,3,4,4,4,4,3,3,4,4,4,3,,,,,,,
40,4,1,4,3,3,0,0,0,0,0,0,0,0,0,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,,,,,,,
41,3,2,4,1,3,0,0,0,0,1,0,0,0,0,0,3,4,4,2,4,4,3,4,2,4,4,4,3,4,4,4,4,4,3,3,4,4,3,4,3,3,3,4,4,3,2,4,4,4,4,4,3,4,4,4,4,3,3,4,4,3,3,3,3,3,,,,,,,
42,3,1,4,1,3,0,0,0,0,0,0,0,1,0,0,2,2,2,3,2,1,2,2,3,2,2,3,4,2,2,2,2,2,3,4,2,4,2,2,2,1,1,1,1,2,2,1,1,2,3,2,2,3,2,2,2,2,2,2,1,1,2,2,3,2,,,,,,,
43,3,2,4,1,2,0,1,0,0,0,0,0,1,0,0,3,3,3,2,4,3,2,3,2,2,3,2,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,2,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,,,,,,,
44,4,2,4,3,2,0,1,0,0,0,0,0,0,0,0,2,2,2,3,3,2,2,2,2,2,3,2,4,3,3,4,4,4,4,4,4,4,3,3,4,4,4,3,3,4,2,4,4,4,3,4,4,3,3,4,3,3,3,3,3,3,4,4,3,4,,,,,,,
45,3,1,4,1,3,0,0,0,0,0,0,0,1,0,1,3,3,3,2,3,4,2,3,2,2,2,3,2,3,4,1,2,3,2,3,2,3,2,3,5,1,2,3,4,5,2,3,1,3,4,3,2,2,2,2,3,5,4,5,5,3,4,5,4,1,,,,,,,
46,3,1,4,1,3,0,1,0,0,0,0,0,0,0,0,3,2,2,3,3,4,4,2,2,4,2,3,4,4,4,2,2,2,2,2,4,4,4,2,2,2,2,2,2,3,2,3,2,2,2,2,3,3,2,3,3,3,2,2,2,2,2,2,2,2,,,,,,,
47,3,2,4,1,3,0,0,0,0,0,0,0,1,0,0,2,2,2,2,2,2,2,2,3,3,2,4,4,4,2,2,2,3,2,3,2,2,2,3,2,2,3,2,3,2,4,2,2,2,2,2,3,3,3,2,2,2,2,2,2,2,2,2,2,2,,,,,,,
48,2,1,4,1,2,0,0,0,0,0,0,0,0,0,0,3,3,2,2,3,2,3,2,3,4,2,3,4,2,2,3,3,2,3,2,3,2,3,3,3,3,2,3,2,3,4,2,3,2,3,3,5,3,4,1,3,2,3,2,3,2,2,4,2,2,,,,,,,
49,2,1,4,2,2,0,0,0,0,0,0,0,1,0,0,4,4,3,2,4,3,3,2,4,4,4,4,4,4,2,3,3,2,3,4,3,2,2,3,4,4,4,2,2,4,2,2,4,2,4,4,4,4,3,3,2,3,3,3,2,3,4,2,3,4,,,,,,,
50,4,1,4,1,3,0,0,0,0,0,0,0,1,0,0,4,4,4,2,4,5,2,2,3,4,2,4,2,3,4,2,2,2,4,4,2,4,4,4,2,2,2,2,2,3,2,4,4,4,4,3,4,4,4,4,3,3,3,3,4,4,4,4,3,4,,,,,,,
51,2,1,4,1,2,1,0,0,0,1,0,0,0,0,0,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,,,,,,,
52,3,2,4,1,3,0,0,0,0,0,0,0,1,0,0,2,2,3,3,2,2,4,1,2,3,4,2,2,2,2,2,3,3,2,2,2,2,2,2,2,2,2,3,4,3,3,3,3,2,3,3,4,3,3,2,2,2,2,2,2,3,3,3,3,3,,,,,,,
53,2,2,3,1,1,0,0,1,0,0,0,0,1,0,0,4,3,3,3,4,2,4,3,2,3,2,4,4,3,2,1,3,2,3,2,2,3,3,2,2,2,2,2,2,2,2,2,2,2,3,3,4,4,4,4,3,2,2,3,4,3,3,3,2,2,,,,,,,
54,2,1,4,1,3,1,0,0,0,0,0,0,0,0,0,2,2,2,2,2,2,2,2,2,3,2,2,2,4,3,4,4,2,2,2,2,2,2,2,2,2,2,3,2,2,2,2,2,2,3,3,3,1,3,3,2,3,2,2,2,2,2,3,2,2,,,,,,,
55,4,2,4,4,2,0,1,0,0,0,0,0,0,0,0,1,1,1,1,1,1,1,1,1,1,1,1,1,4,1,3,3,3,2,3,2,3,2,2,3,3,2,1,1,1,1,1,1,1,1,1,3,1,2,1,1,1,1,1,1,1,1,2,1,1,,,,,,,
56,2,1,4,1,3,0,0,0,0,0,0,0,0,0,0,2,2,2,3,3,2,2,2,3,3,2,3,3,3,1,2,2,2,2,2,3,2,2,2,3,2,2,2,2,2,4,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,,,,,,,
57,2,2,4,1,2,0,0,0,0,0,1,0,0,0,0,3,3,3,2,4,3,2,3,3,3,3,3,4,4,2,2,2,2,2,2,3,2,2,3,4,2,2,2,2,2,3,2,2,2,2,2,3,2,2,2,2,2,2,2,2,3,2,2,2,2,,,,,,,
58,3,1,4,1,3,0,0,0,0,0,1,1,0,0,0,3,3,3,4,4,3,2,4,0,4,4,3,4,4,3,4,3,3,3,4,4,4,4,2,4,4,4,2,2,4,3,4,4,4,4,4,4,4,4,4,3,3,4,4,3,4,4,4,4,4,,,,,,,
59,2,1,4,1,2,0,1,0,0,0,0,0,0,0,0,2,2,3,4,4,4,2,3,3,3,2,2,3,3,3,3,3,3,4,3,3,4,4,3,3,2,2,2,2,4,0,4,3,3,4,4,3,3,3,3,2,3,4,4,1,4,3,3,3,4,,,,,,,
60,2,1,4,1,3,0,0,0,0,0,0,0,1,0,0,2,2,2,3,4,2,1,2,3,3,2,3,3,4,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,3,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,,,,,,,
61,3,2,3,1,1,1,0,1,0,0,1,0,1,0,0,3,2,2,4,4,4,4,4,3,3,3,2,3,4,4,2,4,3,4,3,2,3,3,3,3,2,3,3,3,3,3,3,3,3,2,4,3,3,3,3,3,3,4,3,3,3,3,3,4,4,,,,,,,
62,3,2,4,2,2,0,0,0,0,1,0,0,0,0,0,3,3,3,3,2,2,3,2,4,3,2,3,3,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,3,4,2,2,4,2,2,2,3,2,2,3,2,2,2,2,2,2,3,3,,,,,,,
63,2,2,4,2,2,0,0,0,0,0,0,0,1,0,0,3,3,3,2,4,1,1,1,1,1,1,1,1,1,1,3,3,3,3,2,3,4,4,2,3,2,3,2,2,3,3,3,4,4,3,4,3,4,3,3,3,3,3,3,3,4,3,4,4,4,,,,,,,
64,2,1,4,3,2,0,0,0,0,1,0,0,0,0,0,4,3,4,2,3,3,3,3,3,3,3,4,3,3,2,3,3,2,3,4,5,5,4,5,5,3,3,4,2,4,4,4,5,5,4,4,5,3,4,4,3,3,4,3,5,5,5,3,5,4,,,,,,,
65,4,2,4,3,2,0,0,0,0,1,0,0,0,0,0,3,3,3,2,3,3,2,2,2,3,2,4,3,4,3,2,2,2,4,3,2,4,2,2,3,2,2,2,3,3,3,3,3,3,4,4,4,3,4,4,2,2,4,4,2,3,3,3,3,3,,,,,,,
66,3,1,4,1,2,0,0,0,0,0,0,0,1,0,0,2,2,2,3,2,2,2,2,3,3,2,2,3,2,2,2,3,3,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,4,2,2,2,2,2,2,3,2,2,2,3,2,,,,,,,
67,2,2,4,3,2,0,1,0,0,0,0,0,0,0,0,2,2,2,3,2,2,2,2,3,3,2,3,3,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,3,3,2,2,2,2,3,2,2,2,2,2,2,2,2,2,2,2,2,2,2,,,,,,,
68,2,1,4,1,3,0,0,0,0,0,0,0,1,0,1,2,2,2,3,3,2,3,4,3,3,2,3,3,3,4,4,3,3,3,4,3,3,3,4,4,3,3,3,2,3,3,2,3,3,2,2,2,2,2,3,2,2,3,3,3,4,4,3,3,2,,,,,,,
69,2,1,4,1,1,0,0,0,0,0,0,1,0,0,0,3,3,2,3,4,3,4,3,3,3,4,2,3,4,3,2,2,3,3,3,3,4,4,3,3,3,4,3,3,4,3,3,4,4,4,2,3,3,3,4,4,3,3,2,2,4,4,4,4,4,,,,,,,
70,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,,,,,,,
71,2,2,4,2,2,1,1,0,0,0,0,1,1,0,0,3,3,3,3,3,3,3,4,3,3,3,4,3,4,3,3,3,3,3,3,3,4,3,3,3,4,4,3,3,3,3,2,3,2,3,3,4,4,4,3,3,3,3,3,3,3,3,4,3,3,,,,,,,
72,2,2,4,2,2,0,1,0,0,0,0,0,0,0,0,2,2,2,2,3,2,2,2,3,3,4,3,3,2,3,1,1,2,3,3,2,2,3,2,3,2,2,2,1,2,3,3,2,1,2,2,2,3,2,3,3,2,2,3,4,3,2,3,3,2,,,,,,,
73,2,2,3,3,2,0,1,0,0,0,0,0,0,0,0,2,2,3,3,3,4,1,2,3,4,2,2,3,2,2,2,2,2,2,3,2,2,2,2,2,2,2,2,2,2,2,2,2,2,3,3,3,4,3,3,2,2,2,3,2,2,3,2,2,2,,,,,,,
74,3,2,4,4,2,0,0,0,0,0,1,0,0,0,0,4,2,4,2,4,4,2,3,3,3,3,3,3,4,3,3,4,3,3,4,3,4,4,2,4,2,3,3,3,4,3,3,4,3,3,4,5,5,3,3,3,3,4,3,2,3,5,5,3,4,,,,,,,
75,3,2,2,2,1,0,0,1,0,0,0,0,1,0,0,3,3,3,3,3,3,3,3,3,3,4,3,3,3,3,3,3,3,2,3,3,3,3,3,3,3,3,3,3,3,3,2,2,2,3,3,3,2,2,2,3,2,2,3,3,3,3,3,3,3,,,,,,,
76,4,2,4,4,2,0,0,0,0,0,0,0,1,0,0,4,4,3,3,3,3,3,3,3,3,3,2,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,2,3,3,4,3,4,3,3,4,3,3,3,3,3,3,3,3,3,3,3,,,,,,,
77,4,2,4,4,2,1,0,0,0,0,0,0,0,0,0,2,2,2,3,4,2,2,4,3,4,3,3,3,4,4,3,2,2,4,4,4,3,3,3,3,2,2,2,2,3,3,2,2,2,2,2,2,4,2,3,2,2,2,2,2,2,2,3,3,2,,,,,,,
78,2,1,4,1,3,0,0,0,0,0,0,0,1,0,0,3,3,2,3,4,3,2,3,3,3,3,3,3,2,2,2,2,2,2,2,1,1,3,1,3,4,4,2,3,3,3,2,2,2,2,3,3,4,3,3,2,2,2,2,2,3,2,2,3,2,,,,,,,
79,4,2,4,3,2,0,0,0,0,0,0,0,1,0,0,2,2,2,3,2,2,3,3,4,4,3,3,3,3,2,2,2,2,2,3,3,3,2,2,2,2,2,2,2,2,3,2,2,2,2,2,2,2,2,2,3,2,2,2,3,2,2,2,2,2,,,,,,,
80,3,2,4,2,3,0,0,0,0,0,0,0,1,0,0,3,3,3,2,3,3,3,3,3,2,3,3,3,3,3,2,2,2,2,3,3,3,1,3,3,3,3,3,3,3,3,3,3,3,3,2,2,2,2,2,3,3,3,3,3,3,3,3,3,3,,,,,,,
81,2,1,4,1,2,0,0,0,0,0,1,0,0,0,0,2,2,2,3,3,3,2,2,3,3,2,3,3,3,2,3,2,2,4,2,4,2,3,2,4,1,2,3,3,2,3,5,2,2,2,2,3,2,4,2,4,2,1,2,5,3,2,4,3,3,,,,,,,
82,2,2,4,1,3,0,0,0,0,0,1,0,1,0,0,3,3,3,2,3,3,2,3,2,4,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,,,,,,,
83,4,1,4,3,2,1,0,0,0,1,0,0,1,0,0,3,4,3,3,3,4,4,3,3,3,3,3,3,3,3,3,3,3,3,4,3,2,2,2,2,3,3,3,3,3,3,3,3,3,2,3,3,3,4,4,2,3,2,3,3,3,3,4,3,3,,,,,,,
84,3,1,4,1,3,0,0,0,0,0,0,0,1,0,0,2,3,2,2,4,2,3,3,2,3,2,3,4,3,3,3,2,2,2,3,4,2,2,2,3,3,3,2,2,3,3,2,3,3,3,3,3,3,3,2,2,2,3,2,4,2,2,2,2,2,,,,,,,
85,3,2,4,1,2,0,0,0,0,0,0,0,0,0,1,3,3,3,3,3,4,4,4,3,3,4,4,3,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,3,4,4,4,4,4,4,4,4,4,4,4,4,3,3,3,3,4,4,3,,,,,,,
86,4,1,4,1,3,1,0,0,0,0,0,0,0,0,0,2,2,2,3,2,2,2,2,4,4,2,3,3,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,,,,,,,
87,3,2,4,1,3,0,1,0,0,0,0,0,0,0,0,2,2,2,3,4,2,2,2,3,3,2,3,3,4,2,2,2,2,2,3,2,2,4,2,2,2,2,1,1,2,2,2,2,2,4,4,4,4,4,4,2,2,2,2,2,4,4,4,4,4,,,,,,,
88,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,,,,,,,
89,2,2,4,1,3,0,0,0,0,0,0,0,0,0,1,3,3,3,3,3,3,3,1,3,3,3,2,3,3,3,3,2,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,4,3,3,3,3,4,5,,,,,,,
90,2,2,4,1,1,1,0,0,0,0,1,0,0,0,0,2,3,3,3,3,3,4,2,3,3,3,3,4,3,3,3,4,3,3,3,3,3,4,3,4,4,4,4,4,4,3,3,3,4,3,4,3,3,3,3,3,3,3,3,3,3,4,4,2,3,,,,,,,
91,3,1,4,1,2,0,1,0,0,0,0,0,0,0,0,2,3,3,3,4,4,4,2,2,3,3,3,3,3,3,2,1,1,2,3,3,2,2,3,3,2,2,1,2,3,3,1,2,2,2,2,2,3,4,2,3,2,3,2,1,1,1,2,1,1,,,,,,,
92,4,2,4,3,2,1,0,0,0,0,0,0,0,0,0,4,4,4,4,4,3,2,4,3,2,4,3,4,4,4,3,2,2,3,4,4,4,4,4,4,4,4,2,4,4,2,2,3,3,3,3,3,4,3,3,2,3,2,2,3,3,4,3,3,3,,,,,,,
93,3,1,4,1,3,1,0,0,0,0,0,0,0,0,0,2,2,2,2,3,2,2,4,2,3,2,3,3,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,4,2,2,2,2,2,2,2,2,2,2,2,2,4,4,1,2,2,2,,,,,,,
94,3,2,4,2,3,1,0,0,0,0,0,0,0,0,0,3,3,3,3,3,3,3,3,2,3,3,3,3,3,3,3,3,2,3,3,3,3,3,3,3,3,3,2,3,3,2,3,3,3,3,3,3,3,4,3,3,2,3,3,3,3,3,3,3,3,,,,,,,
95,3,2,4,3,2,0,1,0,0,0,0,0,1,0,0,2,3,3,3,3,3,3,3,2,3,3,2,4,3,3,3,3,3,3,3,3,3,3,3,3,3,3,4,3,3,2,3,3,3,3,3,3,3,3,3,3,3,3,4,4,3,3,3,3,3,,,,,,,
96,2,2,4,1,2,0,0,0,0,0,0,0,1,0,0,4,4,3,3,3,3,3,3,3,3,3,4,3,3,3,3,2,3,2,3,2,3,3,3,2,3,3,3,3,3,4,3,3,3,3,2,3,3,3,4,3,3,3,3,3,3,3,4,2,3,,,,,,,
