respondent_id,SQ1,SQ2,SQ3,PE1,PE2,PE3,PS1,PS2,PS3,EM1,EM2,EM3,PR1,PR2,PR3,TR1,TR2,TR3,SA1,SA2,SA3,LI1,LI2,LI3,age,gender,prior_chatbot_use
43,3,4,4,4,4,4,3,3,3,1,1,1,3,3,3,3,3,4,2,3,3,3,3,3,19,Female,Often
44,4,5,3,4,3,3,5,5,5,3,3,3,2,2,2,4,4,4,5,5,5,4,3,4,24,Male,Sometimes
45,3,4,3,5,5,5,4,4,4,5,5,5,2,2,3,5,4,5,5,4,3,4,4,5,25,Female,Often
46,4,3,4,3,3,2,4,5,3,3,3,3,5,4,4,3,3,4,3,3,2,3,2,3,25,Male,Sometimes
47,3,3,3,3,3,3,4,5,5,3,4,4,4,4,3,4,3,4,4,4,4,2,3,3,19,Female,Often
48,3,3,3,3,4,3,5,5,4,3,3,2,3,3,4,3,3,3,4,4,4,3,3,4,22,Female,Often
49,4,4,4,3,3,3,5,5,5,5,4,4,2,3,3,5,4,4,4,5,5,5,5,5,18,Female,Sometimes
50,4,4,4,4,5,5,5,5,5,5,4,4,3,2,2,5,5,5,5,5,4,4,4,4,20,Female,Sometimes
51,4,4,4,3,4,4,3,3,3,4,4,4,3,3,3,4,4,3,4,4,3,3,3,4,21,Female,Sometimes
52,5,5,5,2,3,2,2,2,2,3,3,3,4,4,4,3,3,3,2,3,3,3,3,3,25,Female,Never
